value,gesture
-2;8;10;4;4;-1;-1;2;-5;5;-3;-5;-4;-3;-2;-3;-1;1;-11;-5;-4;-1;-2;1;-3;-1;10;5;0;1;0;-2;2;-9;-8;-1;-1;-1;-6;3;0;-3;-5;-1;-2;-3;0;0;2;2;9;-5;-3;-1;-2;-3;-3;13;0;0;0;0;1;3;,0
-1;1;-11;-5;-4;-1;-2;1;-3;-1;10;5;0;1;0;-2;2;-9;-8;-1;-1;-1;-6;3;0;-3;-5;-1;-2;-3;0;0;2;2;9;-5;-3;-1;-2;-3;-3;13;0;0;0;0;1;3;0;1;17;7;1;0;0;-1;0;1;-20;-10;-5;-2;-5;7;,0
2;2;9;-5;-3;-1;-2;-3;-3;13;0;0;0;0;1;3;0;1;17;7;1;0;0;-1;0;1;-20;-10;-5;-2;-5;7;0;-3;0;2;-2;-2;-3;-9;5;0;-5;-4;0;-1;0;-1;-9;-13;-1;1;0;-3;-2;-18;0;-2;12;3;-2;-1;1;1;,0
0;1;17;7;1;0;0;-1;0;1;-20;-10;-5;-2;-5;7;0;-3;0;2;-2;-2;-3;-9;5;0;-5;-4;0;-1;0;-1;-9;-13;-1;1;0;-3;-2;-18;0;-2;12;3;-2;-1;1;1;-2;16;8;-1;-2;2;4;5;4;3;-8;0;-1;0;-2;6;,0
-9;-13;-1;1;0;-3;-2;-18;0;-2;12;3;-2;-1;1;1;-2;16;8;-1;-2;2;4;5;4;3;-8;0;-1;0;-2;6;0;-1;-5;-3;0;-1;-2;-8;-4;-13;-11;-3;-3;-1;0;-11;-1;19;-2;-2;-2;-3;0;-5;-1;-1;5;-2;0;-2;3;21;,0
-9;-13;-1;1;0;-3;-2;-18;0;-2;12;3;-2;-1;1;1;-2;16;8;-1;-2;2;4;5;4;3;-8;0;-1;0;-2;6;0;-1;-5;-3;0;-1;-2;-8;-4;-13;-11;-3;-3;-1;0;-11;-1;19;-2;-2;-2;-3;0;-5;-1;-1;5;-2;0;-2;3;21;,0
0;-1;-5;-3;0;-1;-2;-8;-4;-13;-11;-3;-3;-1;0;-11;-1;19;-2;-2;-2;-3;0;-5;-1;-1;5;-2;0;-2;3;21;2;3;11;4;-1;0;-2;2;2;17;-5;-3;0;-3;-1;1;-2;-15;-31;-3;-2;0;-2;1;-2;-25;3;-2;-3;0;-3;-3;,0
0;-1;-5;-3;0;-1;-2;-8;-4;-13;-11;-3;-3;-1;0;-11;-1;19;-2;-2;-2;-3;0;-5;-1;-1;5;-2;0;-2;3;21;2;3;11;4;-1;0;-2;2;2;17;-5;-3;0;-3;-1;1;-2;-15;-31;-3;-2;0;-2;1;-2;-25;3;-2;-3;0;-3;-3;,0
0;-1;-5;-3;0;-1;-2;-8;-4;-13;-11;-3;-3;-1;0;-11;-1;19;-2;-2;-2;-3;0;-5;-1;-1;5;-2;0;-2;3;21;2;3;11;4;-1;0;-2;2;2;17;-5;-3;0;-3;-1;1;-2;-15;-31;-3;-2;0;-2;1;-2;-25;3;-2;-3;0;-3;-3;,0
0;-1;-5;-3;0;-1;-2;-8;-4;-13;-11;-3;-3;-1;0;-11;-1;19;-2;-2;-2;-3;0;-5;-1;-1;5;-2;0;-2;3;21;2;3;11;4;-1;0;-2;2;2;17;-5;-3;0;-3;-1;1;-2;-15;-31;-3;-2;0;-2;1;-2;-25;3;-2;-3;0;-3;-3;,0
-4;4;3;3;3;1;-2;-3;-2;0;1;-2;-3;-3;-1;-3;1;-2;0;-4;-2;-1;1;-2;-2;-4;-1;-1;1;-1;0;0;0;-4;-6;-3;1;-1;-3;-1;0;5;9;4;-3;-2;-1;1;-1;-7;-11;-7;-4;-3;-1;-2;0;-2;6;4;3;0;0;-2;,0
0;-4;-6;-3;1;-1;-3;-1;0;5;9;4;-3;-2;-1;1;-1;-7;-11;-7;-4;-3;-1;-2;0;-2;6;4;3;0;0;-2;-1;9;-8;-2;0;-1;-2;1;0;-23;1;-5;-3;-2;-2;1;-1;12;4;5;-2;-1;-1;3;-2;-6;-31;-9;-2;-1;-2;0;,0
